WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,637
02,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,551
02,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,519
02,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,477
02,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,475
02,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,465
02,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,415
02,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,396
02,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,377
02,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,359
02,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,339
02,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,338
02,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,338
02,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,304
02,DOLNOŚLĄSKIE,TYMON,MĘŻCZYZNA,303
02,DOLNOŚLĄSKIE,MARCEL,MĘŻCZYZNA,279
02,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,245
02,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,245
02,DOLNOŚLĄSKIE,MIŁOSZ,MĘŻCZYZNA,227
02,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,221
02,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,209
02,DOLNOŚLĄSKIE,OLIWIER,MĘŻCZYZNA,207
02,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,201
02,DOLNOŚLĄSKIE,IGOR,MĘŻCZYZNA,195
02,DOLNOŚLĄSKIE,TYMOTEUSZ,MĘŻCZYZNA,188
02,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,186
02,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,184
02,DOLNOŚLĄSKIE,OSKAR,MĘŻCZYZNA,163
02,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,161
02,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,159
02,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,152
02,DOLNOŚLĄSKIE,ALAN,MĘŻCZYZNA,148
02,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,146
02,DOLNOŚLĄSKIE,HUBERT,MĘŻCZYZNA,141
02,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,133
02,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,128
02,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,123
02,DOLNOŚLĄSKIE,BRUNO,MĘŻCZYZNA,118
02,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,115
02,DOLNOŚLĄSKIE,FABIAN,MĘŻCZYZNA,107
02,DOLNOŚLĄSKIE,NATAN,MĘŻCZYZNA,107
02,DOLNOŚLĄSKIE,KAJETAN,MĘŻCZYZNA,105
02,DOLNOŚLĄSKIE,PAWEŁ,MĘŻCZYZNA,86
02,DOLNOŚLĄSKIE,ADRIAN,MĘŻCZYZNA,80
02,DOLNOŚLĄSKIE,BORYS,MĘŻCZYZNA,78
02,DOLNOŚLĄSKIE,KUBA,MĘŻCZYZNA,77
02,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,74
02,DOLNOŚLĄSKIE,PATRYK,MĘŻCZYZNA,74
02,DOLNOŚLĄSKIE,DANIEL,MĘŻCZYZNA,66
